Aiframe,MTOW,Range
B772,545000,5240
B773,660000,6030
B77W,775000,7370
B77L,766000,8555
B762,315000,3900
B76X,395000,6590
B763,350000,3900
B76W,412000,5980
B764,450000,5625
B788, 502500, 8640
B789, 561500, 8790
A332,534000,8360
A333,534000,7300
B736,124000,3050
B737,133000,3300
B738,155500,2935
B739,164000,2950
B739ER,164000,3200
B37M,145000,3850
B38M,159400,3550
B79M,168200,3550
B3XM,175000,3300
A319,166000,3750
A320,172000,3300
A321,206000,3200
A318, 151871.8626, 3100
A20N, 174164.98, 4000
E190, 114199.316, 2450
E195, 115279.5798, 2300
E175, 89000.5094, 2200
B734, 149914.16, 2375
