TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=0 (region 1)"
 STRANDID=311, SOLUTIONTIME=772
 I=954, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 7.384332275E+01 1.790075531E+02
 7.384446716E+01 1.764140320E+02
 7.384446716E+01 1.664018555E+02
 7.384518433E+01 1.624722443E+02
 7.384518433E+01 1.561503448E+02
 7.384549713E+01 1.525136566E+02
 7.384549713E+01 1.408731232E+02
 7.384549713E+01 1.435606384E+02
 7.384565735E+01 1.421863556E+02
 7.384565735E+01 1.357530365E+02
 7.384571838E+01 1.346939087E+02
 7.384571838E+01 1.340160828E+02
 7.384573364E+01 1.335711670E+02
 7.384573364E+01 1.284284668E+02
 7.384574890E+01 1.279088058E+02
 7.384574890E+01 1.257781677E+02
 7.384576416E+01 1.251863785E+02
 7.384576416E+01 1.238356934E+02
 7.384578705E+01 1.234077301E+02
 7.384578705E+01 1.219621124E+02
 7.384581757E+01 1.218387070E+02
 7.384581757E+01 1.210102081E+02
 7.384582520E+01 1.211756668E+02
 7.384582520E+01 1.198403473E+02
 7.384582520E+01 1.193508301E+02
 7.384582520E+01 1.229719620E+02
 7.384582520E+01 1.231759796E+02
 7.384582520E+01 1.206312561E+02
 7.384582520E+01 1.205878067E+02
 7.384582520E+01 1.202842407E+02
 7.384582520E+01 1.200961685E+02
 7.384582520E+01 1.201333694E+02
 7.384582520E+01 1.203885651E+02
 7.384583282E+01 1.200745850E+02
 7.384583282E+01 1.200495377E+02
 7.384584808E+01 1.200941772E+02
 7.384584808E+01 1.161396484E+02
 7.384587097E+01 1.161691284E+02
 7.384587097E+01 1.187373810E+02
 7.384590149E+01 1.186220169E+02
 7.384590149E+01 1.171300430E+02
 7.384593201E+01 1.174452286E+02
 7.384593201E+01 1.165913391E+02
 7.384594727E+01 1.163193893E+02
 7.384594727E+01 1.172124939E+02
 7.384594727E+01 1.172276535E+02
 7.384594727E+01 1.182393875E+02
 7.384590149E+01 1.184312592E+02
 7.384590149E+01 1.198882523E+02
 7.384580994E+01 1.206782150E+02
 7.384580994E+01 1.262410202E+02
 7.384560394E+01 1.272806931E+02
 7.384560394E+01 1.245199280E+02
 7.384560394E+01 1.370821686E+02
 7.384526825E+01 1.387109985E+02
 7.384526825E+01 1.434760590E+02
 7.384490967E+01 1.459282227E+02
 7.384490967E+01 1.499750214E+02
 7.384435272E+01 1.532209015E+02
 7.384435272E+01 1.637241058E+02
 7.384320831E+01 1.663056641E+02
 7.383402252E+01 1.700086975E+02
 7.383082581E+01 1.709585266E+02
 7.381964874E+01 1.736175079E+02
 7.381701660E+01 1.746522217E+02
 7.380364990E+01 1.785167847E+02
 7.380110168E+01 1.792532043E+02
 7.378518677E+01 1.829650269E+02
 7.376679230E+01 1.826688690E+02
 7.376383972E+01 1.829256287E+02
 7.374227142E+01 1.853789215E+02
 7.373916626E+01 1.857196198E+02
 7.371401215E+01 1.878154297E+02
 7.371063995E+01 1.879823761E+02
 7.368133545E+01 1.888245850E+02
 7.367771149E+01 1.889752655E+02
 7.364343262E+01 1.915938721E+02
 7.363969421E+01 1.918912811E+02
 7.359928131E+01 1.937047119E+02
 7.359560394E+01 1.939124451E+02
 7.354798126E+01 1.956842957E+02
 7.354450989E+01 1.958460083E+02
 7.348867798E+01 1.972670441E+02
 7.348548126E+01 1.973766174E+02
 7.342048645E+01 1.989786682E+02
 7.341754913E+01 1.990563660E+02
 7.334191895E+01 2.010746613E+02
 7.333922577E+01 2.011522064E+02
 7.325127411E+01 2.035057526E+02
 7.324879456E+01 2.035737610E+02
