TITLE     = "VTK Data"
VARIABLES = "X"
"Velocity_X"
ZONE T="Slice: Y=8.281 (region 1)"
 STRANDID=362, SOLUTIONTIME=772
 I=299, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.592448235E+01 2.539936829E+02
 2.600346184E+01 2.487637787E+02
 2.605401802E+01 2.463364868E+02
 2.613672829E+01 2.414132233E+02
 2.613934898E+01 2.412609253E+02
 2.614059830E+01 2.411170197E+02
 2.616148186E+01 2.395605927E+02
 2.615661812E+01 2.393723297E+02
 2.610323334E+01 2.401380463E+02
 2.610220337E+01 2.401593018E+02
 2.610054398E+01 2.402030640E+02
 2.600015831E+01 2.440585480E+02
 2.590173531E+01 2.481225586E+02
 2.586220932E+01 2.497119293E+02
 2.570986938E+01 2.566770020E+02
 2.569907761E+01 2.569714661E+02
 2.553974152E+01 2.626748657E+02
 2.553382874E+01 2.627334900E+02
 2.538975143E+01 2.639645691E+02
 2.527566338E+01 2.653378601E+02
 2.518591118E+01 2.665138245E+02
 2.503993797E+01 2.690136414E+02
 2.496888161E+01 2.694654846E+02
 2.481667519E+01 2.684449768E+02
 2.477884483E+01 2.676495056E+02
 2.461198997E+01 2.642373962E+02
 2.439102936E+01 2.631485291E+02
 2.429489899E+01 2.626800842E+02
 2.420089722E+01 2.628580322E+02
 2.399164200E+01 2.636405029E+02
 2.378089142E+01 2.636281738E+02
 2.370311546E+01 2.637851868E+02
 2.362368774E+01 2.639198303E+02
 2.343425369E+01 2.641917114E+02
 2.328573036E+01 2.649517822E+02
 2.327346039E+01 2.649493103E+02
 2.312568092E+01 2.642712402E+02
 2.308087349E+01 2.642442932E+02
 2.295334244E+01 2.643081055E+02
 2.284843254E+01 2.646111145E+02
 2.279505157E+01 2.647743835E+02
 2.268190384E+01 2.646343384E+02
 2.265527344E+01 2.646002502E+02
 2.264455414E+01 2.645168762E+02
 2.253189087E+01 2.628218384E+02
 2.247607994E+01 2.621242065E+02
 2.241195488E+01 2.613730164E+02
 2.232568932E+01 2.603843079E+02
 2.229751778E+01 2.599391174E+02
 2.218000793E+01 2.573989868E+02
 2.216695213E+01 2.570902710E+02
 2.215422630E+01 2.567898560E+02
 2.206479263E+01 2.541180573E+02
 2.206138802E+01 2.540203094E+02
 2.205971718E+01 2.538869476E+02
 2.198374176E+01 2.475948334E+02
 2.195226288E+01 2.464068451E+02
 2.188340378E+01 2.434860840E+02
 2.180724525E+01 2.559038239E+02
 2.179591370E+01 2.576140747E+02
 2.178250885E+01 2.658506470E+02
 2.172203827E+01 3.059285583E+02
 2.167690086E+01 3.410914001E+02
